drillhole_id,longitude,latitude,year,start_date,locality,company,licence,altitude
STQ 05-13,-51.081448,64.412965,2005,2005-08-11,Storø - Qingaaq,NunaMinerals A/S,2002/07,507.0
QAQ12-42,-52.203958,66.554173,2012,2012-01-01,White Mountain (Qaqortorssuaq),Hudson Resources Inc.,2002/06,509.95
ZK40001,-22.7645,71.609,2012,2012-01-01,"Jameson Land, Wegener Halvø",Nordic Mining / Jiangxi Zhongrun Mining Co. Ltd joint venture,2007/03,781.43
ECP097,-45.871376,60.866572,2007,2007-01-01,"Ilimausaq, Kringlerne",Rimbal Pty Ltd.,2006/04,19.02
KRI RC48,-45.838009,60.864835,2010,2010-01-01,"Ilimausaq, Kringlerne",Rimbal Pty Ltd.,2006/04,419.78
KVA M017A,-46.00876,60.969765,2011,2011-01-01,"Ilimausaq, Kvanefjeld",Greenland Minerals and Energy Ltd.,2010/02,562.0
KRI D005,-45.841404,60.865137,2010,2010-01-01,"Ilimausaq, Kringlerne",Rimbal Pty Ltd.,2006/04,434.92
STQ 15-13,-51.07994,64.414511,2015,2015-04-07,Storø - Qingaaq,Greenland Resources Inc.,2014/11,483.0
NAL B130,-44.844326,60.359997,2007,2007-12-07,Nalunaq,Crew Gold Corporation,2002/03,613.8
ZK401,-22.6872,71.593,2012,2012-01-01,"Jameson Land, Wegener Halvø",Nordic Mining / Jiangxi Zhongrun Mining Co. Ltd joint venture,2007/03,168.98
MQ-17-136,-51.528288,65.278415,2017,2017-06-20,P-013SE,North American Nickel Inc.,2011/54,304.0
KVA N016,-45.872905,60.971575,2011,2011-01-01,"Ilimausaq, Zone 3",Greenland Minerals and Energy Ltd.,2010/02,673.0
QAQ 11-06,-51.68748,65.37799,2011,2011-06-12,Qeqertaasaq,NunaMinerals A/S,2007/51,477.97
GLA 06-31,-50.980681,71.112141,2006,2006-06-01,Black Angel - Glacier Zone,Angus & Ross Plc.,2005/05,560.0
STQ 07-47,-51.093098,64.408751,2007,2007-07-26,Storø - Qingaaq,NunaMinerals A/S,2002/07,1033.0
MQ-13-027,-51.475182,65.44425,2013,2013-08-17,Target P-001 Imiak North,North American Nickel Inc.,2011/54,483.0
DWD 005,-67.224004,76.276423,2012,2012-01-01,De Dødes West,Red Rock Resources,2011/25,349.0
NIA-09-35,-45.22937,60.52869,2009,2009-07-25,Niaqornaarsuk Delta,NunaMinerals A/S,2006/10,7.0
MAL 05_23222,-24.26799,71.954892,2005,2005-06-24,Malmbjerg South Adit,International Molybdenum Plc.,2004/17,703.05
GL-07-37,-50.320251,63.010643,2007,2007-08-27,Aappaluttoq,True north Gems,2006/01,239.0
LSH 07-02,-50.984785,71.101776,2007,2007-06-01,Black Angel - Beach,Angus & Ross Plc.,2005/05,507.0
GR-05-08,-51.238383,66.655418,2005,2005-01-01,Uniiviit - Smile Lake,Metalex Ventures Ltd.,2004/04,
SAR 10-20,-51.176003,66.498302,2010,2010-08-17,Sarfartoq - ST24,Hudson Resources Inc.,2002/06,610.0
QAQ 11-14,-51.67314,65.3776,2011,2011-09-25,Qeqertaasaq,NunaMinerals A/S,2007/51,411.71
ISU 11-07A,-49.756044,65.205867,2011,2011-07-28,Isua (Isukasia),London Mining Plc.,2009/16,1153.0
NAL 300-11,-44.836147,60.355743,2004,2004-01-01,Nalunaq,Crew Gold Corporation,2002/03,304.28
L410-06,-45.036324,60.230065,2005,2005-08-19,Lake 410,Crew Develoment Corporation,2004/05,490.0
ISU 09-12,-49.749747,65.211362,2009,2009-08-07,Isua (Isukasia),London Mining Plc.,2009/16,1187.01
CF10-279,-28.127624,83.068524,2010,2010-01-01,Citronen Fjord - Southeast Zone,Ironbark Zinc Limited,2007/02,115.35
NAL 05-103,-44.834119,60.355246,2005,2005-01-01,Nalunaq,Crew Gold Corporation,2002/03,299.0
GLA 06-22,-50.979186,71.112078,2006,2006-06-01,Black Angel - Glacier Zone,Angus & Ross Plc.,2005/05,559.0
SEQ-11,-51.552237,64.988303,2003,2003-09-11,Seqi,Crew Gold Corporation,2003/02,75.6
MQ-18-178,-51.501301,65.441071,2018,2018-08-11,Imiak Hill G-017,North American Nickel Inc.,2011/54,385.24
TIK 11-005,-49.77809,64.004691,2011,2011-07-03,Tikiusaaq,NunaMinerals A/S,2010/27,691.8
L210-09-20,-45.04946,60.21898,2009,2009-06-20,Lake 210 Delta,NunaMinerals A/S,2006/10,210.0
CF09-200,-28.314483,83.094122,2009,2009-01-01,Citronen Fjord - Beach Zone,Ironbark Zinc Limited,2007/02,15.55
MQ-13-018,-51.551949,65.361039,2013,2013-07-13,Target P-004 Fossilik 1,North American Nickel Inc.,2011/54,698.0
CF08-152,-28.227641,83.105292,2008,2008-01-01,Citronen Fjord - Northeast Zone,Ironbark Zinc Limited,2007/02,48.69
KRI RC42,-45.839583,60.865194,2010,2010-01-01,"Ilimausaq, Kringlerne",Rimbal Pty Ltd.,2006/04,414.73
MQ-13-034,-51.527512,65.279789,2013,2013-09-07,Target P-013,North American Nickel Inc.,2011/54,306.0
QAQ 14-21,-51.67842,65.374467,2014,2014-07-01,Qeqertaasaq,NunaMinerals A/S,2007/51,463.0
